channel,videos
Pod Save America,"['https://www.youtube.com/watch?v=VnV1WmMh2Ys', 'https://www.youtube.com/watch?v=eeV8RfjsuvA', 'https://www.youtube.com/watch?v=kEa7RauClds', 'https://www.youtube.com/watch?v=18sJOaJlirY', 'https://www.youtube.com/watch?v=m1gnGi3mw0A', 'https://www.youtube.com/watch?v=pRjj35lXXIA', 'https://www.youtube.com/watch?v=yHyLE7eGHCw', 'https://www.youtube.com/watch?v=4MtH3SQe3YA', 'https://www.youtube.com/watch?v=vkXJiEzWxFs', 'https://www.youtube.com/watch?v=43mCsJHXJgI']"
The Ben Shapiro Show,"['https://www.youtube.com/watch?v=kiuqzg0uhMM', 'https://www.youtube.com/watch?v=ZKRdfvSUyuU', 'https://www.youtube.com/watch?v=8N5EInBBYJI', 'https://www.youtube.com/watch?v=Uc5C2790C7E', 'https://www.youtube.com/watch?v=piH3dDQHAjA', 'https://www.youtube.com/watch?v=NZEGRYQVOyQ', 'https://www.youtube.com/watch?v=iPPkS1I7LIM', 'https://www.youtube.com/watch?v=noRSnTqGF7I', 'https://www.youtube.com/watch?v=tSiQb7NGw2o', 'https://www.youtube.com/watch?v=iRJ5uEO_hYI']"
The Joe Rogan Experience,"['https://www.youtube.com/watch?v=bvKNjXawwSc', 'https://www.youtube.com/watch?v=FzPlfjTtxlc', 'https://www.youtube.com/watch?v=SbW6FTU69bw', 'https://www.youtube.com/watch?v=hCepzIrkbDE', 'https://www.youtube.com/watch?v=nN7Xnj9uR1M', 'https://www.youtube.com/watch?v=mZkHwI7cX4Y', 'https://www.youtube.com/watch?v=D_kUi6BsGe4', 'https://www.youtube.com/watch?v=IfSjQyFd7aU', 'https://www.youtube.com/watch?v=Lr5FEZUCJG8', 'https://www.youtube.com/watch?v=LXaYH-owS50']"
The Dan Bongino Show,"['https://www.youtube.com/watch?v=jlpNyZQbcdY', 'https://www.youtube.com/watch?v=FbT84x4qoKk', 'https://www.youtube.com/watch?v=wjVqm19dFQM']"
The Daily Wire,"['https://www.youtube.com/watch?v=Eq5gYAll-yc', 'https://www.youtube.com/watch?v=mJlDLGkQE6o', 'https://www.youtube.com/watch?v=uA41MxRhLfs', 'https://www.youtube.com/watch?v=J3ESLF6U-94', 'https://www.youtube.com/watch?v=jtT-gP9FUhM', 'https://www.youtube.com/watch?v=9iQ7yULQHFg', 'https://www.youtube.com/watch?v=p3L-oY5l_so', 'https://www.youtube.com/watch?v=g0peaWACrUM', 'https://www.youtube.com/watch?v=MTXU78NC_h4', 'https://www.youtube.com/watch?v=3gRBZdJnKKw']"
The Rubin Report,"['https://www.youtube.com/watch?v=3zKMR0OMghQ', 'https://www.youtube.com/watch?v=1mXfy8V_OMc', 'https://www.youtube.com/watch?v=0lN4udgIEP0', 'https://www.youtube.com/watch?v=wN_NlNC07Ho', 'https://www.youtube.com/watch?v=Zp7lodJdDwc', 'https://www.youtube.com/watch?v=PLv_-KHalhA', 'https://www.youtube.com/watch?v=D1E-mIVQYAc', 'https://www.youtube.com/watch?v=6HANsm9_Yz8', 'https://www.youtube.com/watch?v=Ch2iaOJlGY8', 'https://www.youtube.com/watch?v=NvE-PUuYKZM']"
The Young Turks,"['https://www.youtube.com/watch?v=8pUKoi-GzI8', 'https://www.youtube.com/watch?v=cXgN3Jk5rR8', 'https://www.youtube.com/watch?v=B0TXqmuaqF4', 'https://www.youtube.com/watch?v=uQPY5Mq5cx8', 'https://www.youtube.com/watch?v=DVzpD5KFkZc', 'https://www.youtube.com/watch?v=Ah0OP1JniIM', 'https://www.youtube.com/watch?v=U2XApVeMeRA', 'https://www.youtube.com/watch?v=DdOi-2u3Gqk', 'https://www.youtube.com/watch?v=9w_NaRGdP00', 'https://www.youtube.com/watch?v=jWyapwJ8zbk']"
The Charlie Kirk Show,"['https://www.youtube.com/watch?v=ZF4CepvwKvY', 'https://www.youtube.com/watch?v=1YGd_f6IZUc', 'https://www.youtube.com/watch?v=h9zNkq8n1Us', 'https://www.youtube.com/watch?v=0yYHQh3tWGo', 'https://www.youtube.com/watch?v=z1e3cZ1jok0', 'https://www.youtube.com/watch?v=VstjP7TWDMI', 'https://www.youtube.com/watch?v=Cu2PHHC19gs', 'https://www.youtube.com/watch?v=3J1l2CFgvO8', 'https://www.youtube.com/watch?v=BpfZm4mqeR8', 'https://www.youtube.com/watch?v=Kx_4g9UAd5I']"
The Majority Report with Sam Seder,"['https://www.youtube.com/watch?v=m6ZtE6ag234', 'https://www.youtube.com/watch?v=ySBik-zWuNA', 'https://www.youtube.com/watch?v=z04CICi7jWo', 'https://www.youtube.com/watch?v=5LlKeeVzzFE', 'https://www.youtube.com/watch?v=-0N3bQNg1Ho', 'https://www.youtube.com/watch?v=NA5vOkjjUhU', 'https://www.youtube.com/watch?v=u4cTrElIaRA', 'https://www.youtube.com/watch?v=vsATOKxAcNk', 'https://www.youtube.com/watch?v=qqkEP3XpZxI', 'https://www.youtube.com/watch?v=1PV4d2HSxfg']"
The Sean Hannity Show,"['https://www.youtube.com/watch?v=u4w0-B4K1nI', 'https://www.youtube.com/watch?v=yiZukawu3gQ', 'https://www.youtube.com/watch?v=qCegGEscwbU', 'https://www.youtube.com/watch?v=E3mbEe8in0s', 'https://www.youtube.com/watch?v=YFVJB75jWZ8', 'https://www.youtube.com/watch?v=hZkD8tgzpzc', 'https://www.youtube.com/watch?v=yNd27wREmVg', 'https://www.youtube.com/watch?v=3y7mGvhhgAU', 'https://www.youtube.com/watch?v=ihFNMiJz5ss', 'https://www.youtube.com/watch?v=LXfeTX1TtXU']"
The Megyn Kelly Show,"['https://www.youtube.com/watch?v=kZl2WwJmz7g', 'https://www.youtube.com/watch?v=COvAIVn55j4', 'https://www.youtube.com/watch?v=JulrZQEtETg', 'https://www.youtube.com/watch?v=clENkSvgMpw', 'https://www.youtube.com/watch?v=ayEleZZYU_M', 'https://www.youtube.com/watch?v=59lLxDyca1E', 'https://www.youtube.com/watch?v=I7sKGMbHFSA', 'https://www.youtube.com/watch?v=w7tbfm3lu-E', 'https://www.youtube.com/watch?v=SYpfg_KJW70', 'https://www.youtube.com/watch?v=jwKmFK2h2fY']"
